File Name,Root Directory,File Size (MB),File Size (GB)
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E07.Texan.Family.Returns.to.Roots.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E07.Texan.Family.Returns.to.Roots.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E07.Texan.Family.Returns.to.Roots.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1858.2,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E08.New.Home.New.Life.for.Mom.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E08.New.Home.New.Life.for.Mom.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E08.New.Home.New.Life.for.Mom.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1859.89,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E09.Missionaries.Retreat.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E09.Missionaries.Retreat.In.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E09.Missionaries.Retreat.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1861.08,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E10.Couple.Reach.for.Unreachable.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E10.Couple.Reach.for.Unreachable.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E10.Couple.Reach.for.Unreachable.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1860.36,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E11.Physicians.Seek.Farmhouse.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E11.Physicians.Seek.Farmhouse.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E11.Physicians.Seek.Farmhouse.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1861.35,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E12.Close.Academics.Seek.Acreage.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E12.Close.Academics.Seek.Acreage.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E12.Close.Academics.Seek.Acreage.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1858.9,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E13.Baby.Boomers.Buy.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E13.Baby.Boomers.Buy.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E13.Baby.Boomers.Buy.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1860.04,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E01.Newlyweds.Seek.First.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E01.Newlyweds.Seek.First.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E01.Newlyweds.Seek.First.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1849.9,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E02.Young.Couple.Chooses.Old.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E02.Young.Couple.Chooses.Old.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E02.Young.Couple.Chooses.Old.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.58,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E03.Homebuilders.Seek.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E03.Homebuilders.Seek.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E03.Homebuilders.Seek.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.65,1.81
